# HB Z M OV QHEL tau_He tau_H fname
0 0.0005 3.400 0.30 0.236 2.915e+07 1.809e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M3.40.PMS
0 0.0005 3.600 0.30 0.226 2.477e+07 1.597e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M3.60.PMS
0 0.0005 3.800 0.30 0.217 2.135e+07 1.42e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M3.80.PMS
0 0.0005 4.000 0.30 0.209 1.852e+07 1.27e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M4.00.PMS
0 0.0005 4.200 0.30 0.203 1.617e+07 1.145e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M4.20.PMS
0 0.0005 4.400 0.30 0.197 1.418e+07 1.037e+08 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M4.40.PMS
0 0.0005 4.600 0.30 0.192 1.264e+07 9.47e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M4.60.PMS
0 0.0005 4.800 0.30 0.188 1.129e+07 8.685e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M4.80.PMS
0 0.0005 5.000 0.30 0.184 1.021e+07 7.981e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M5.00.PMS
0 0.0005 5.200 0.30 0.182 9.198e+06 7.371e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M5.20.PMS
0 0.0005 5.400 0.30 0.179 8.342e+06 6.835e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M5.40.PMS
0 0.0005 5.600 0.30 0.177 7.584e+06 6.363e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M5.60.PMS
0 0.0005 5.800 0.30 0.177 6.894e+06 5.94e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M5.80.PMS
0 0.0005 6.000 0.30 0.184 6.323e+06 5.575e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M6.00.PMS
