# HB Z M OV QHEL tau_He tau_H fname
0 0.001 5.200 0.50 0.188 7.502e+06 8.126e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M5.20.PMS
0 0.001 5.400 0.50 0.186 6.811e+06 7.523e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M5.40.PMS
0 0.001 5.600 0.50 0.191 6.239e+06 6.989e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M5.60.PMS
0 0.001 5.800 0.50 0.201 5.734e+06 6.516e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M5.80.PMS
0 0.001 50.000 0.50 0.506 3.545e+05 4.337e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M50.0.PMS
0 0.001 55.000 0.50 0.526 3.392e+05 4.097e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M55.0.PMS
0 0.001 6.000 0.50 0.229 5.26e+06 6.11e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M6.00.PMS
0 0.001 6.200 0.50 0.280 4.868e+06 5.724e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M6.20.PMS
0 0.001 6.400 0.50 0.300 4.529e+06 5.382e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M6.40.PMS
0 0.001 60.000 0.50 0.553 3.289e+05 3.9e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M60.0.PMS
0 0.001 65.000 0.50 0.571 3.184e+05 3.737e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M65.0.PMS
0 0.001 7.000 0.50 0.313 4.679e+06 4.521e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M7.00.PMS
0 0.001 70.000 0.50 0.583 3.108e+05 3.598e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M70.0.PMS
0 0.001 75.000 0.50 0.594 3.04e+05 3.478e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M75.0.PMS
0 0.001 8.000 0.50 0.320 3.509e+06 3.544e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M8.00.PMS
0 0.001 80.000 0.50 0.635 3e+05 3.375e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M80.0.PMS
0 0.001 85.000 0.50 0.664 2.93e+05 3.284e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M85.0.PMS
0 0.001 9.000 0.50 0.325 2.641e+06 2.889e+07 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M9.00.PMS
0 0.001 90.000 0.50 0.765 2.856e+05 3.203e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M90.0.PMS
0 0.001 95.000 0.50 0.758 2.812e+05 3.132e+06 OV0.5_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M95.0.PMS
0 0.002 0.100 0.00 0.000 0 2.996e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.10.PMS
0 0.002 0.120 0.00 0.000 0 2.987e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.12.PMS
0 0.002 0.140 0.00 0.000 0 2.978e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.14.PMS
0 0.002 0.160 0.00 0.000 0 2.996e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.16.PMS
0 0.002 0.200 0.00 0.000 0 2.982e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.20.PMS
0 0.002 0.250 0.00 0.000 0 2.993e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.25.PMS
0 0.002 0.300 0.00 0.000 0 3.006e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.30.PMS
0 0.002 0.350 0.00 0.000 0 2.977e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.35.PMS
0 0.002 0.450 0.00 0.000 0 3.011e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.45.PMS
1 0.002 0.488 0.50 0.996 1.285e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.488.PMS.HB
1 0.002 0.489 0.50 0.994 1.31e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.489.PMS.HB
1 0.002 0.490 0.50 0.992 1.284e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.490.PMS.HB
1 0.002 0.495 0.50 0.982 1.247e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.495.PMS.HB
0 0.002 0.500 0.00 0.000 0 3.013e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.50.PMS
1 0.002 0.500 0.50 0.972 1.219e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.500.PMS.HB
1 0.002 0.505 0.50 0.963 1.201e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.505.PMS.HB
1 0.002 0.510 0.50 0.953 1.194e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.510.PMS.HB
1 0.002 0.515 0.50 0.944 1.176e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.515.PMS.HB
1 0.002 0.520 0.50 0.935 1.174e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.520.PMS.HB
1 0.002 0.525 0.50 0.926 1.16e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.525.PMS.HB
1 0.002 0.530 0.50 0.917 1.153e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.530.PMS.HB
1 0.002 0.540 0.50 0.900 1.144e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.540.PMS.HB
0 0.002 0.550 0.00 0.000 0 3.007e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.55.PMS
1 0.002 0.550 0.50 0.884 1.122e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.550.PMS.HB
1 0.002 0.560 0.50 0.868 1.113e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.560.PMS.HB
1 0.002 0.570 0.50 0.853 1.1e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.570.PMS.HB
1 0.002 0.580 0.50 0.838 1.086e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.580.PMS.HB
1 0.002 0.590 0.50 0.824 1.08e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.590.PMS.HB
0 0.002 0.600 0.00 0.000 0 3.008e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.60.PMS
1 0.002 0.600 0.50 0.810 1.068e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.60.PMS.HB
1 0.002 0.620 0.50 0.784 1.047e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.62.PMS.HB
1 0.002 0.640 0.50 0.760 1.036e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.64.PMS.HB
0 0.002 0.650 0.00 0.755 8.476e+05 2.687e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.65.PMS
1 0.002 0.660 0.50 0.736 1.015e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.66.PMS.HB
1 0.002 0.680 0.50 0.715 1.012e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.68.PMS.HB
0 0.002 0.700 0.00 0.699 8.579e+05 2.07e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.70.PMS
1 0.002 0.700 0.50 0.694 1.016e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.70.PMS.HB
1 0.002 0.720 0.50 0.675 1.004e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.72.PMS.HB
0 0.002 0.750 0.00 0.650 8.609e+05 1.625e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.75.PMS
1 0.002 0.750 0.50 0.648 9.886e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.75.PMS.HB
1 0.002 0.760 0.50 0.639 9.911e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.76.PMS.HB
1 0.002 0.780 0.50 0.623 9.911e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.78.PMS.HB
0 0.002 0.800 0.00 0.608 8.532e+05 1.298e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.80.PMS
1 0.002 0.800 0.50 0.607 9.947e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.80.PMS.HB
0 0.002 0.850 0.00 0.571 8.613e+05 1.044e+10 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.85.PMS
1 0.002 0.850 0.50 0.571 9.857e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.85.PMS.HB
0 0.002 0.900 0.00 0.538 8.525e+05 8.487e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.90.PMS
1 0.002 0.900 0.50 0.538 9.742e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.90.PMS.HB
0 0.002 0.950 0.00 0.509 8.693e+05 7.015e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.95.PMS
1 0.002 0.950 0.50 0.509 9.787e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M.95.PMS.HB
0 0.002 1.000 0.00 0.483 8.643e+05 5.824e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.00.PMS
1 0.002 1.000 0.50 0.483 9.723e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.00.PMS.HB
0 0.002 1.050 0.00 0.459 8.853e+05 4.878e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.05.PMS
1 0.002 1.050 0.50 0.459 9.679e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.05.PMS.HB
0 0.002 1.100 0.08 0.438 8.831e+05 4.112e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.10.PMS
1 0.002 1.100 0.50 0.438 9.652e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.10.PMS.HB
0 0.002 1.150 0.17 0.419 8.809e+05 3.526e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.15.PMS
1 0.002 1.150 0.50 0.418 9.631e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.15.PMS.HB
0 0.002 1.200 0.25 0.401 8.703e+05 3.094e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.20.PMS
1 0.002 1.200 0.50 0.401 9.504e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.20.PMS.HB
0 0.002 1.250 0.33 0.385 8.72e+05 2.82e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.25.PMS
1 0.002 1.250 0.50 0.385 9.56e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.25.PMS.HB
0 0.002 1.300 0.42 0.369 8.958e+05 2.612e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.30.PMS
1 0.002 1.300 0.50 0.369 9.508e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.30.PMS.HB
0 0.002 1.350 0.50 0.354 1.198e+06 2.425e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.35.PMS
1 0.002 1.350 0.50 0.353 9.704e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.35.PMS.HB
0 0.002 1.400 0.50 0.339 1.15e+06 2.18e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.40.PMS
1 0.002 1.400 0.50 0.339 9.853e+07 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.40.PMS.HB
0 0.002 1.450 0.50 0.324 1.217e+06 1.966e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.45.PMS
1 0.002 1.450 0.50 0.323 1e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.45.PMS.HB
0 0.002 1.500 0.50 0.309 1.064e+06 1.78e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.50.PMS
1 0.002 1.500 0.50 0.309 1.032e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.50.PMS.HB
0 0.002 1.550 0.50 0.293 1.115e+06 1.619e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.55.PMS
1 0.002 1.550 0.50 0.291 1.111e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.55.PMS.HB
0 0.002 1.600 0.50 0.274 1.26e+06 1.485e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.60.PMS
1 0.002 1.600 0.50 0.274 1.205e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.60.PMS.HB
0 0.002 1.650 0.50 0.252 8.391e+06 1.363e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.65.PMS
1 0.002 1.650 0.50 0.252 1.374e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.65.PMS.HB
0 0.002 1.700 0.50 0.287 2.392e+08 1.253e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.70.PMS
1 0.002 1.700 0.50 0.245 1.358e+08 0 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.70.PMS.HB
0 0.002 1.750 0.50 0.282 2.265e+08 1.157e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.75.PMS
0 0.002 1.800 0.50 0.282 2.172e+08 1.073e+09 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.80.PMS
0 0.002 1.850 0.50 0.281 2.016e+08 9.941e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.85.PMS
0 0.002 1.900 0.50 0.279 1.868e+08 9.257e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.90.PMS
0 0.002 1.950 0.50 0.274 1.719e+08 8.637e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M1.95.PMS
0 0.002 10.000 0.50 0.318 2.139e+06 2.441e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M10.0.PMS
0 0.002 11.000 0.50 0.316 1.798e+06 2.09e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M11.0.PMS
0 0.002 12.000 0.50 0.339 1.354e+06 1.822e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M12.0.PMS
0 0.002 14.000 0.50 0.354 1.325e+06 1.457e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M14.0.PMS
0 0.002 16.000 0.50 0.363 9.446e+05 1.221e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M16.0.PMS
0 0.002 18.000 0.50 0.369 7.805e+05 1.056e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M18.0.PMS
0 0.002 2.000 0.50 0.273 1.57e+08 8.098e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.00.PMS
0 0.002 2.050 0.50 0.275 1.442e+08 7.453e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.05.PMS
0 0.002 2.100 0.50 0.272 1.313e+08 6.998e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.10.PMS
0 0.002 2.150 0.50 0.273 1.207e+08 6.582e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.15.PMS
0 0.002 2.200 0.50 0.271 1.1e+08 6.201e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.20.PMS
0 0.002 2.250 0.50 0.273 1.004e+08 5.854e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.25.PMS
0 0.002 2.300 0.50 0.275 9.27e+07 5.535e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.30.PMS
0 0.002 2.350 0.50 0.273 8.539e+07 5.241e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.35.PMS
0 0.002 2.400 0.50 0.274 7.844e+07 4.968e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.40.PMS
0 0.002 2.600 0.50 0.273 5.873e+07 4.059e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.60.PMS
0 0.002 2.800 0.50 0.271 4.551e+07 3.383e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M2.80.PMS
0 0.002 20.000 0.50 0.383 6.915e+05 9.363e+06 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M20.0.PMS
0 0.002 24.000 0.50 0.401 5.807e+05 7.717e+06 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M24.0.PMS
0 0.002 28.000 0.50 0.419 5.1e+05 6.671e+06 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M28.0.PMS
0 0.002 3.000 0.50 0.259 3.634e+07 2.864e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M3.00.PMS
0 0.002 3.200 0.50 0.247 2.981e+07 2.453e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M3.20.PMS
0 0.002 3.400 0.50 0.236 2.471e+07 2.127e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M3.40.PMS
0 0.002 3.600 0.50 0.226 2.115e+07 1.863e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M3.60.PMS
0 0.002 3.800 0.50 0.218 1.809e+07 1.648e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M3.80.PMS
0 0.002 4.000 0.50 0.211 1.572e+07 1.469e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M4.00.PMS
0 0.002 4.200 0.50 0.205 1.379e+07 1.318e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M4.20.PMS
0 0.002 4.400 0.50 0.200 1.233e+07 1.19e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M4.40.PMS
0 0.002 4.600 0.50 0.196 1.094e+07 1.081e+08 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M4.60.PMS
0 0.002 4.800 0.50 0.192 9.776e+06 9.874e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M4.80.PMS
0 0.002 5.000 0.50 0.189 8.794e+06 9.057e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M5.00.PMS
0 0.002 5.200 0.50 0.182 7.795e+06 8.329e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M5.20.PMS
0 0.002 5.400 0.50 0.180 7.104e+06 7.698e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M5.40.PMS
0 0.002 5.600 0.50 0.182 6.474e+06 7.142e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M5.60.PMS
0 0.002 5.800 0.50 0.188 5.94e+06 6.649e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M5.80.PMS
0 0.002 6.000 0.50 0.192 5.447e+06 6.234e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M6.00.PMS
0 0.002 6.200 0.50 0.223 5.035e+06 5.829e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M6.20.PMS
0 0.002 6.400 0.50 0.277 4.673e+06 5.473e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M6.40.PMS
0 0.002 7.000 0.50 0.305 4.729e+06 4.587e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M7.00.PMS
0 0.002 8.000 0.50 0.315 3.728e+06 3.584e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M8.00.PMS
0 0.002 9.000 0.50 0.321 2.763e+06 2.907e+07 OV0.5_Z0.002_Y0.252/Z0.002Y0.252OUTA1.74_F7_M9.00.PMS
0 0.004 0.100 0.00 0.000 0 2.989e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.10.PMS
0 0.004 0.120 0.00 0.000 0 3.015e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.12.PMS
0 0.004 0.140 0.00 0.000 0 3.014e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.14.PMS
0 0.004 0.160 0.00 0.000 0 3.022e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.16.PMS
0 0.004 0.200 0.00 0.000 0 2.996e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.20.PMS
0 0.004 0.250 0.00 0.000 0 2.972e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.25.PMS
0 0.004 0.300 0.00 0.000 0 2.991e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.30.PMS
0 0.004 0.350 0.00 0.000 0 2.968e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.35.PMS
0 0.004 0.450 0.00 0.000 0 3.013e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.45.PMS
1 0.004 0.484 0.50 0.997 1.339e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.484.PMS.HB
1 0.004 0.485 0.50 0.995 1.329e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.485.PMS.HB
1 0.004 0.490 0.50 0.984 1.299e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.490.PMS.HB
1 0.004 0.495 0.50 0.974 1.278e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.495.PMS.HB
0 0.004 0.500 0.00 0.000 0 3.008e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.50.PMS
1 0.004 0.500 0.50 0.964 1.255e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.500.PMS.HB
1 0.004 0.505 0.50 0.955 1.23e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.505.PMS.HB
1 0.004 0.510 0.50 0.946 1.23e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.510.PMS.HB
1 0.004 0.515 0.50 0.936 1.215e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.515.PMS.HB
1 0.004 0.520 0.50 0.927 1.209e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.520.PMS.HB
1 0.004 0.525 0.50 0.919 1.205e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.525.PMS.HB
1 0.004 0.530 0.50 0.910 1.192e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.530.PMS.HB
1 0.004 0.540 0.50 0.893 1.176e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.540.PMS.HB
0 0.004 0.550 0.00 0.000 0 3.013e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.55.PMS
1 0.004 0.550 0.50 0.877 1.152e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.550.PMS.HB
1 0.004 0.560 0.50 0.861 1.148e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.560.PMS.HB
1 0.004 0.570 0.50 0.846 1.136e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.570.PMS.HB
1 0.004 0.580 0.50 0.831 1.122e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.580.PMS.HB
1 0.004 0.590 0.50 0.817 1.115e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.590.PMS.HB
0 0.004 0.600 0.00 0.000 0 3.012e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.60.PMS
1 0.004 0.600 0.50 0.804 1.101e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.60.PMS.HB
1 0.004 0.620 0.50 0.778 1.076e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.62.PMS.HB
1 0.004 0.640 0.50 0.753 1.07e+08 0 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.64.PMS.HB
0 0.004 0.650 0.00 0.000 0 3.005e+10 OV0.5_Z0.004_Y0.256/Z0.004Y0.256OUTA1.74_F7_M.65.PMS
